filename,duration,broken_wc_time
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-none__2.dat,7.7909779999999955,0.004622
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-none__7.dat,7.861924000000727,0.004155
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-none__16.dat,7.869708000000173,0.004067
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-none__6.dat,7.872932999999648,0.004029
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-none__18.dat,7.8938849999995,0.004006
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-none__10.dat,7.895430999999917,0.008115
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-none__12.dat,7.9022300000006,0.003993
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-none__4.dat,7.904039000000012,0.007996
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-none__11.dat,7.912548000000243,0.004081
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-none__14.dat,7.931152000000111,0.009936
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-none__9.dat,7.9402030000001105,0.003668
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-none__15.dat,7.945546999999351,0.008144
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-none__5.dat,7.951364000000467,0.007976
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-none__8.dat,7.962563000000046,0.008057
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-none__19.dat,7.990589,0.01204
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-none__1.dat,7.99718699999994,0.012272
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-none__20.dat,8.045180000000073,0.008002
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-none__3.dat,8.048631999999998,0.004139
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-none__13.dat,8.070153000000573,8.5e-05
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-none__17.dat,8.072704000000158,0.012029
