filename,duration,broken_wc_time
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sequential__2.dat,7.976411999999073,0.000226
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sequential__17.dat,7.97815300000002,0.000291
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sequential__16.dat,7.98410800000056,0.000275
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sequential__10.dat,7.987445999999181,0.002644
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sequential__7.dat,7.989974999998594,0.000359
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sequential__5.dat,7.991550000000643,0.000281
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sequential__3.dat,7.992217999999411,0.004215
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sequential__19.dat,7.992874999999913,0.000263
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sequential__12.dat,7.993064000000231,0.000418
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sequential__18.dat,7.9957199999989825,0.000256
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sequential__4.dat,8.006731999999829,0.00026
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sequential__11.dat,8.016410000000178,0.000287
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sequential__14.dat,8.018431000000419,0.000278
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sequential__15.dat,8.03158700000131,0.000309
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sequential__20.dat,8.03787100000045,0.000317
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sequential__13.dat,8.04381999999896,0.000383
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sequential__8.dat,8.057049000000916,0.000427
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sequential__1.dat,8.06873799999994,0.000243
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sequential__9.dat,8.069107999999687,0.000388
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sequential__6.dat,8.113510000001042,0.003955
