filename,duration,broken_wc_time
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockets__7.dat,7.24149000000034,0.001508
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockets__17.dat,7.259942000000592,0.004449
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockets__12.dat,7.281202000000121,0.012136
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockets__10.dat,7.281613999999536,0.004521
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockets__20.dat,7.283341000000291,0.000205
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockets__13.dat,7.28876499999933,0.008467
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockets__2.dat,7.28907799999979,0.000238
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockets__8.dat,7.295185999999376,0.001534
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockets__14.dat,7.299036000000342,0.012138
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockets__19.dat,7.306543999999121,0.008106
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockets__4.dat,7.317000999999436,0.008321
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockets__6.dat,7.324043000000529,0.012192
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockets__3.dat,7.327903999999762,0.004238
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockets__1.dat,7.328317999999854,0.011704
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockets__9.dat,7.337417000000642,0.000484
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockets__11.dat,7.345291999999972,0.004297
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockets__5.dat,7.353451999999379,0.004267
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockets__15.dat,7.356470000000627,0.012246
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockets__18.dat,7.365264000000025,0.000299
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockets__16.dat,7.368092999999135,0.000548
