filename,duration,broken_wc_time
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockorder__20.dat,7.257665000000998,0.000355
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockorder__17.dat,7.263661000000866,0.002593
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockorder__14.dat,7.26758399999926,0.000278
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockorder__15.dat,7.271950999998808,0.00034
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockorder__4.dat,7.28378100000009,0.000278
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockorder__5.dat,7.285288000000946,0.000277
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockorder__12.dat,7.287886999998591,0.000314
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockorder__7.dat,7.291073000000324,0.000602
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockorder__13.dat,7.291089999998803,0.000421
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockorder__18.dat,7.292724999999336,0.000326
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockorder__11.dat,7.294283999999607,0.000285
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockorder__3.dat,7.294455999999627,0.000245
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockorder__19.dat,7.298947000001135,0.000275
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockorder__10.dat,7.2993119999991904,0.000359
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockorder__8.dat,7.30092599999989,0.00032
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockorder__1.dat,7.304791999998997,0.000333
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockorder__16.dat,7.305475999999544,0.000279
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockorder__9.dat,7.307071999999607,0.001573
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockorder__2.dat,7.308114000001296,0.000365
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-disabled-sockorder__6.dat,7.357807000000321,0.00129
