filename,duration,broken_wc_time
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-none__15.dat,7.900883000000249,0.01413
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-none__20.dat,7.909448000000339,0.005518
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-none__13.dat,7.912991999999576,0.008231
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-none__8.dat,7.933030000000144,0.014439
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-none__12.dat,7.941310999998677,0.065939
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-none__6.dat,7.945997999999236,0.044961
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-none__3.dat,7.959828999999445,0.008109
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-none__16.dat,7.969828999999663,0.002622
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-none__19.dat,7.99992199999906,0.041798
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-none__9.dat,8.000207999999475,0.205752
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-none__10.dat,8.00466299999971,0.021669
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-none__18.dat,8.017554000000018,0.006667
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-none__17.dat,8.042795000001206,0.004118
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-none__2.dat,8.048204000000624,0.093723
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-none__7.dat,8.051876000001357,0.091355
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-none__11.dat,8.085339000001113,0.084197
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-none__14.dat,8.098285000000033,0.121973
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-none__4.dat,8.10940599999958,2.8e-05
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-none__5.dat,8.294475999999122,0.672534
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-none__1.dat,8.357732999998916,0.368333
