filename,duration,broken_wc_time
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sequential__12.dat,7.915304999998625,0.002737
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sequential__10.dat,7.969818999999916,0.000272
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sequential__20.dat,7.985074000000168,0.000425
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sequential__6.dat,7.985878999999841,0.00038
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sequential__19.dat,7.993199000000459,0.000357
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sequential__3.dat,8.000071999998909,0.000339
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sequential__15.dat,8.017085999999836,0.004241
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sequential__14.dat,8.019775999999183,0.004343
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sequential__2.dat,8.024468999999954,0.000556
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sequential__1.dat,8.030391000000236,0.000419
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sequential__11.dat,8.045763000000079,0.003305
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sequential__5.dat,8.052497000000585,0.000323
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sequential__7.dat,8.055716000000757,0.000251
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sequential__13.dat,8.057949000000008,0.000316
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sequential__16.dat,8.077016000001095,0.000366
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sequential__8.dat,8.11889500000143,0.000287
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sequential__18.dat,8.120426999999836,0.00094
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sequential__9.dat,8.141295999999784,0.000389
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sequential__17.dat,8.225950000000012,0.000615
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sequential__4.dat,8.23463300000003,0.000275
