filename,duration,broken_wc_time
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockets__12.dat,7.170912000001408,0.008118
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockets__4.dat,7.183360999999422,0.008187
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockets__18.dat,7.184150999999474,0.00022
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockets__7.dat,7.208565000000817,0.008283
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockets__13.dat,7.225902000000133,0.000242
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockets__10.dat,7.235427999999956,0.00416
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockets__6.dat,7.240300999999818,0.008243
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockets__11.dat,7.241953000000649,0.012262
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockets__20.dat,7.297051999999894,0.004403
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockets__9.dat,7.33314000000064,0.008156
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockets__17.dat,7.34725299999991,0.004717
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockets__16.dat,7.356503999999404,0.002685
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockets__14.dat,7.3863060000003316,0.004257
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockets__5.dat,7.402688999998645,0.000252
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockets__15.dat,7.40280999999959,0.014554
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockets__19.dat,7.472547000001214,0.004306
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockets__1.dat,7.506180999998833,0.004477
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockets__8.dat,7.51377500000126,0.016076
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockets__3.dat,7.558386999999129,0.000224
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockets__2.dat,7.733854000000065,0.004358
