filename,duration,broken_wc_time
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockorder__12.dat,7.175509000000602,0.000347
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockorder__20.dat,7.180823000000601,0.000255
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockorder__19.dat,7.183340999999928,0.000325
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockorder__18.dat,7.194015999999465,0.000303
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockorder__10.dat,7.203367000000071,0.000524
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockorder__11.dat,7.223734999999579,0.002955
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockorder__9.dat,7.226866999999402,0.000287
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockorder__14.dat,7.229462999999669,0.000303
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockorder__6.dat,7.232540999999401,0.00041
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockorder__16.dat,7.234599999999773,0.000286
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockorder__8.dat,7.235875000000306,0.000293
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockorder__3.dat,7.253747000000658,0.000375
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockorder__5.dat,7.265260000000126,0.000304
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockorder__1.dat,7.276222999998936,0.000536
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockorder__2.dat,7.292044999998325,0.000329
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockorder__13.dat,7.316108000000895,0.000337
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockorder__7.dat,7.365413000001354,0.000297
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockorder__4.dat,7.3738199999988865,0.001367
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockorder__17.dat,7.399375999999393,0.000338
bt.B.x__dahu-15__v6.8.0-rc3__performance__2024-03-08__nb-enabled-sockorder__15.dat,7.420410999999149,0.000248
