filename,duration,broken_wc_time
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__15.dat,8.939709000005678,0.004478
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__10.dat,8.941767000003892,0.00091
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__18.dat,8.949075000004086,0.000224
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__9.dat,8.96189400000003,0.004184
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__14.dat,8.979386999999406,0.004145
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__19.dat,8.988002000005508,0.005105
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__16.dat,9.000256999999692,0.005979
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__8.dat,9.013393000001088,0.000248
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__6.dat,9.019069000001764,0.009011
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__17.dat,9.01974099999643,0.000299
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__12.dat,9.027970000002824,0.01101
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__2.dat,9.031392999997479,0.00522
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__13.dat,9.036174999993818,0.004227
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__5.dat,9.040453000001435,0.000468
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__20.dat,9.046644000001834,0.010259
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__3.dat,9.05076199999894,0.004284
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__1.dat,9.053614000004018,0.010557
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__11.dat,9.093623999993724,0.012816
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__7.dat,9.098062999997637,0.000857
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__4.dat,9.121407000006002,0.001005
