filename,duration,broken_wc_time
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__8.dat,8.843868000003567,0.001312
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__4.dat,8.847990000002028,0.000956
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__20.dat,8.877310999996553,0.006367
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__9.dat,8.883951000003435,0.000272
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__14.dat,8.88455399999657,0.001036
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__19.dat,8.90064600000187,0.001099
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__16.dat,8.90288000000146,0.005825
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__5.dat,8.907959000003757,0.000993
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__18.dat,8.909563000001071,0.001055
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__7.dat,8.912483000000066,0.001009
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__10.dat,8.91617199999746,0.001344
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__13.dat,8.94588400000066,0.003936
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__2.dat,8.946654000006674,0.007404
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__6.dat,8.969878000003519,0.002958
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__11.dat,8.976861000002827,0.00236
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__17.dat,8.994940999997198,0.001052
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__12.dat,8.99498599999788,0.001792
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__1.dat,9.024301999997988,0.000979
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__15.dat,9.0534570000018,0.004986
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__3.dat,9.061310999997659,0.005494
