filename,duration,broken_wc_time
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__12.dat,9.421717000004719,0.008249
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__7.dat,9.493305000003602,0.001955
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__11.dat,9.496075000002747,0.000245
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__13.dat,9.545000999998592,0.001889
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__17.dat,9.579020000004675,0.001735
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__8.dat,9.583969999999681,0.005806
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__2.dat,9.642266000002564,0.00187
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__16.dat,9.663290999997116,0.000982
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__19.dat,9.725822000000335,0.002712
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__15.dat,9.736497999998392,0.001793
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__10.dat,9.751907999998366,0.006103
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__20.dat,9.763081999997667,0.001031
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__6.dat,9.781854999993811,0.002511
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__1.dat,9.790235000000393,0.010678
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__3.dat,9.819863999997324,0.001785
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__9.dat,9.825596000002406,0.000264
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__18.dat,9.870034999999916,0.001747
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__4.dat,9.874132999997528,0.000351
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__5.dat,9.909867999995186,0.000533
cg.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__14.dat,9.974942000000738,0.001093
