filename,duration,broken_wc_time
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__12.dat,9.207400999999663,0.004932
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__47.dat,9.226407000000108,0.00839
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__43.dat,9.231255000000601,0.005465
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__14.dat,9.23140599999897,0.000317
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__10.dat,9.233326999999917,0.004434
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__2.dat,9.254314000001614,0.013075
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__4.dat,9.278690999999526,0.001325
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__1.dat,9.28052899999966,0.000457
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__32.dat,9.284761999999319,0.004253
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__6.dat,9.287972000000082,0.000929
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__15.dat,9.29765899999984,0.005029
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__36.dat,9.31490599999961,0.001492
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__8.dat,9.317650000000867,0.000535
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__48.dat,9.321261999999479,0.010312
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__3.dat,9.328764999998384,0.009299
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__46.dat,9.32999000000018,0.002279
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__42.dat,9.331325000001016,0.001041
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__35.dat,9.33407299999999,0.008798
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__17.dat,9.339475000000675,0.006544
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__23.dat,9.339528000000428,0.000319
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__9.dat,9.34309200000098,0.002263
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__26.dat,9.343510999999125,0.008361
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__13.dat,9.348058000001402,0.002741
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__25.dat,9.348763999998482,0.015155
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__34.dat,9.35139799999888,0.004089
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__5.dat,9.354143000000477,0.003759
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__19.dat,9.357357999999294,0.004384
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__45.dat,9.363155999999435,0.000345
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__7.dat,9.366260000000693,0.008314
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__37.dat,9.367064000000028,0.012544
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__41.dat,9.369244999999864,0.004285
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__39.dat,9.373132000000624,0.002232
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__30.dat,9.379265999999916,0.007136
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__31.dat,9.386334000000716,0.004052
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__49.dat,9.38640099999975,0.004319
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__44.dat,9.400306999999884,0.009271
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__11.dat,9.401131000000532,0.007011
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__24.dat,9.402405000000726,0.014405
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__28.dat,9.405409000000873,0.005465
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__22.dat,9.408230999999432,0.005072
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__21.dat,9.417113999999856,0.013005
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__50.dat,9.434225000000879,0.004243
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__29.dat,9.434940999999526,0.016196
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__20.dat,9.442317999999432,0.008326
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__40.dat,9.461959000000206,0.004462
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__33.dat,9.46483199999966,0.020468
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__27.dat,9.468845999999758,0.000328
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__38.dat,9.51354800000081,0.004229
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__16.dat,9.518157000000429,0.000289
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-free__18.dat,9.51851600000009,0.000353
