filename,duration,broken_wc_time
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__4.dat,9.229355999999825,0.001047
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__13.dat,9.258482000001095,0.000305
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__36.dat,9.267496000000392,0.000478
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__23.dat,9.276945000001433,0.005353
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__8.dat,9.278811999998652,0.001059
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__2.dat,9.279639000000316,0.004109
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__45.dat,9.290258000000904,0.000944
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__47.dat,9.293259999998554,0.000988
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__17.dat,9.308039999999892,0.001754
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__35.dat,9.314026000000013,0.008922
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__15.dat,9.31920700000046,0.008413
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__6.dat,9.319711000000098,0.005748
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__37.dat,9.320403999998234,0.001269
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__19.dat,9.321783999999752,0.001679
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__34.dat,9.324993000000177,0.002862
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__21.dat,9.326788999998826,0.004023
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__41.dat,9.335994999999457,0.000972
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__43.dat,9.340040000000954,0.00481
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__32.dat,9.343877999999677,0.001865
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__28.dat,9.349597000000358,0.002424
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__24.dat,9.350452999999106,0.00092
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__11.dat,9.357229999999618,0.001875
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__18.dat,9.362026999999216,0.00423
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__16.dat,9.36897400000089,0.001047
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__30.dat,9.369722999999794,0.002533
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__3.dat,9.376666000000114,0.003002
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__39.dat,9.377509000001737,0.001113
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__10.dat,9.38602499999979,0.00429
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__26.dat,9.392271999999139,0.003738
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__46.dat,9.394430000000284,0.003567
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__9.dat,9.39942499999961,0.001005
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__33.dat,9.41157099999873,0.003002
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__5.dat,9.412513999999646,0.004362
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__20.dat,9.424070000000938,0.008834
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__25.dat,9.426093000000037,0.000427
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__1.dat,9.427598000000216,0.001074
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__44.dat,9.431652000001122,0.001033
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__40.dat,9.436127000000852,0.002015
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__50.dat,9.437552999999753,0.001404
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__49.dat,9.441412000000128,0.007133
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__29.dat,9.45137700000123,0.00106
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__27.dat,9.458642999999938,0.000976
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__31.dat,9.463850000000093,0.00186
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__12.dat,9.471150999999736,0.000627
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__42.dat,9.477498000000196,0.002298
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__22.dat,9.478470000000016,0.004974
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__7.dat,9.491399999998976,0.00028
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-hyperthreads-locked__38.dat,9.495753999999579,0.003556
