filename,duration,broken_wc_time
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-none__4.dat,10.020557999999255,7.4e-05
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-none__1.dat,10.050764999999956,0.00293
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-none__2.dat,10.086451000000125,0.004028
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-none__7.dat,10.127685000000383,0.005379
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-none__17.dat,10.13592299999982,0.011479
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-none__5.dat,10.136082999999417,0.00016
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-none__13.dat,10.244582000000264,0.011992
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-none__6.dat,10.248397000000296,9.8e-05
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-none__42.dat,10.24872200000027,0.005425
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-none__40.dat,10.251604999999472,0.000173
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-none__38.dat,10.256258999999773,8.1e-05
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-none__32.dat,10.25723199999993,6e-05
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-none__41.dat,10.258389999999054,0.005829
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-none__9.dat,10.25915199999963,0.008719
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-none__23.dat,10.264336999999614,0.00034
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-none__12.dat,10.266316999999617,0.001833
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-disabled-none__15.dat,10.26786600000014,0.011965
