filename,duration,broken_wc_time
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-free__48.dat,8.881930999999895,0.006623
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-free__13.dat,8.912812000000486,0.000424
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-free__28.dat,8.967346000001271,0.002185
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-free__21.dat,8.987107000000833,0.004951
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-free__32.dat,8.991518000002543,0.000343
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-free__44.dat,8.991731999998592,0.000348
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-free__15.dat,9.000310999999783,0.004292
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-free__47.dat,9.011129000002256,0.006184
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-free__26.dat,9.013187000000471,0.011774
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-free__46.dat,9.02064700000119,0.008267
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-free__38.dat,9.033508000000438,0.003347
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-free__1.dat,9.036276000000726,0.000407
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-free__36.dat,9.036599999999453,0.001007
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-free__40.dat,9.040962999999465,0.012367
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-free__24.dat,9.042413000002853,0.015847
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-free__5.dat,9.04265100000157,0.003733
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-free__19.dat,9.043966999999611,0.008513
