filename,duration,broken_wc_time
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__2.dat,8.931164999998146,0.000903
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__36.dat,8.943122999997286,0.007575
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__1.dat,8.968147999999928,0.002704
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__32.dat,8.97077200000058,0.001219
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__49.dat,8.978171999999176,0.001275
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__3.dat,8.98714199999813,0.001707
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__47.dat,9.007276999996975,0.00285
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__22.dat,9.011714000000211,0.001837
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__9.dat,9.024603999998362,0.002519
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__7.dat,9.026208999999653,0.008151
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__35.dat,9.028760000001057,0.000368
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__34.dat,9.02927500000078,0.003508
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__14.dat,9.030635999999504,0.006605
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__42.dat,9.036217000000761,0.001078
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__46.dat,9.038031000000046,0.002082
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__13.dat,9.041216000001441,0.00033
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__20.dat,9.04439999999886,0.003703
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__4.dat,9.04482199999984,0.005157
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__28.dat,9.045973000000231,0.002487
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__12.dat,9.046039999997447,0.001065
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__16.dat,9.056919999999081,0.005961
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__45.dat,9.06296199999997,0.002645
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__40.dat,9.066619000001083,0.002503
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__27.dat,9.076290000000881,0.001737
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__21.dat,9.084728999998333,0.002231
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__15.dat,9.08882900000026,0.003751
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__30.dat,9.089420000000246,0.004313
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__26.dat,9.089710000000196,0.002225
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__10.dat,9.093014000001858,0.000455
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__17.dat,9.096224000000802,0.006601
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__33.dat,9.098900000000867,0.002869
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__11.dat,9.09896199999639,0.000415
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-hyperthreads-locked__39.dat,9.103298999998515,0.006665
