filename,duration,broken_wc_time
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__36.dat,9.760177999998632,0.000246
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__23.dat,9.779965000001539,0.00406
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__39.dat,9.809406999998828,0.004202
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__40.dat,9.913379999999961,0.008298
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__7.dat,9.944915000000037,0.004136
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__49.dat,9.962265000000116,0.011998
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__41.dat,9.990293999999267,0.019971
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__2.dat,10.023048999999446,0.01408
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__8.dat,10.036434999999983,0.004021
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__22.dat,10.040030999998635,0.006478
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__3.dat,10.056464999999662,0.00802
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__33.dat,10.06306399999994,0.000516
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__44.dat,10.064581000000544,0.00123
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__20.dat,10.080647000000681,0.015246
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__30.dat,10.090808999999354,0.004651
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__42.dat,10.113266000000294,0.004068
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__18.dat,10.125138000001243,0.004079
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__19.dat,10.127966999998534,0.004244
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__12.dat,10.141661999999997,0.006304
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__15.dat,10.143497999999454,0.021266
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__47.dat,10.151026999999885,0.015964
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__5.dat,10.154715999999098,0.007993
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__24.dat,10.163963999999396,0.004083
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__38.dat,10.167966000000888,0.004798
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__31.dat,10.168061000000307,0.008997
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__29.dat,10.173256999998557,0.008121
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__32.dat,10.177811000001384,0.004144
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__13.dat,10.19951299999957,0.003098
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__35.dat,10.204428999999436,0.004178
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__17.dat,10.204976999999417,0.008101
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__26.dat,10.208960999998453,0.033839
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__50.dat,10.210100999998758,0.008072
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__16.dat,10.216603999999279,0.013335
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__14.dat,10.220233000000007,0.004874
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__10.dat,10.229434999999285,0.017369
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__34.dat,10.231031999999686,0.016094
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__11.dat,10.250348999999915,0.012215
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__25.dat,10.270560999999361,0.00421
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__43.dat,10.27107899999828,0.004039
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__9.dat,10.272333000000799,0.007964
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__1.dat,10.276202999999441,0.008249
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__4.dat,10.286111999999775,0.012288
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__27.dat,10.308038000001034,0.008138
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__28.dat,10.334945000000516,0.221685
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__6.dat,10.409066000000166,0.16914
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__37.dat,10.413104999999632,0.00554
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-none__48.dat,10.466072000001077,0.000903
