filename,duration,broken_wc_time
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockets__28.dat,8.936696999999185,0.002251
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockets__47.dat,8.97028699999828,0.008131
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockets__14.dat,8.983594999999696,0.001228
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockets__45.dat,8.986344000000827,0.00118
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockets__25.dat,8.991034999999101,0.00473
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockets__4.dat,8.992685999999594,0.000212
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockets__34.dat,8.997530999999071,0.000793
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockets__16.dat,9.00626099999863,0.016127
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockets__38.dat,9.015155999999479,0.010251
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockets__36.dat,9.017633999999816,0.002239
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockets__37.dat,9.018048999998427,0.011233
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockets__22.dat,9.031283000000258,0.001077
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockets__48.dat,9.032097000001158,0.004243
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockets__31.dat,9.033685000000332,0.004408
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockets__6.dat,9.035848999999871,0.004869
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockets__2.dat,9.041678999999931,0.010392
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockets__13.dat,9.051939999999377,0.000135
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockets__26.dat,9.052460999999312,0.009972
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockets__40.dat,9.054959999999483,0.004624
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockets__20.dat,9.06514900000002,0.00671
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockets__30.dat,9.068547000000763,0.004473
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockets__18.dat,9.070585000001302,0.000576
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockets__10.dat,9.071482000001197,0.000941
