filename,duration,broken_wc_time
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__1.dat,8.917300000000978,0.000362
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__4.dat,8.928764000000228,0.008559
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__15.dat,8.950678000001062,0.00131
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__5.dat,8.95084499999939,0.001961
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__11.dat,8.964797999999064,0.003601
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__9.dat,8.966491000001042,0.000272
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__48.dat,8.972136000000319,0.00162
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__7.dat,8.976160000000164,0.005905
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__13.dat,8.979380000000674,0.000909
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__2.dat,8.983550000000832,0.001776
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__16.dat,8.998437999998714,0.001827
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__3.dat,8.998521999999866,0.008048
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__36.dat,9.001419000000169,0.001141
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__38.dat,9.003571999999622,0.001557
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__8.dat,9.01940900000045,0.003548
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__24.dat,9.02067900000111,0.002561
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__50.dat,9.023734000000331,0.00091
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__46.dat,9.027787999999418,0.002577
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__6.dat,9.038606999998592,0.001281
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__14.dat,9.040450000000419,0.00118
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__12.dat,9.040971000000354,0.00105
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__34.dat,9.0511060000008,0.001749
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__17.dat,9.053138999999646,0.002641
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__40.dat,9.053801000000021,0.000506
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__44.dat,9.054040999999415,0.001002
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__20.dat,9.058897000000798,0.000397
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__28.dat,9.065475999999762,0.001848
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__18.dat,9.065667000000758,0.002321
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__39.dat,9.066777000000002,0.001553
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__30.dat,9.077499000000898,0.003692
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__32.dat,9.083185000001322,0.001002
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__42.dat,9.086389000000054,0.005183
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__49.dat,9.088598000000275,0.004536
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__23.dat,9.08941600000071,0.000318
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__26.dat,9.091057999999975,0.004414
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__10.dat,9.093171999998958,0.001076
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__37.dat,9.101252000000386,0.000282
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__29.dat,9.112811000000875,0.000322
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__27.dat,9.115486000000601,0.004855
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__31.dat,9.115515999999843,0.000319
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__22.dat,9.118946000000506,0.003261
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__41.dat,9.144351999999344,0.002084
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__47.dat,9.147478000000774,0.000952
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__21.dat,9.149954999998954,0.000279
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__25.dat,9.155909999999494,0.000406
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__43.dat,9.157413000000815,0.000442
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__33.dat,9.161157000000458,0.00238
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__45.dat,9.272681000000375,0.001049
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__35.dat,9.32236600000033,0.000254
cg.C.x__dahu-28__v6.8.0-rc3__performance__2024-03-28__nb-enabled-sockorder__19.dat,9.344449000000168,0.000325
