filename,duration,broken_wc_time
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__17.dat,289.9054299999989,0.025299
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__18.dat,289.96101099999214,0.036283
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__19.dat,290.0290660000028,0.028681
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__2.dat,290.02997000000323,0.027705
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__20.dat,290.0507929999876,0.037095
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__15.dat,290.06238999999186,0.081333
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__14.dat,290.0647920000047,0.038992
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__11.dat,290.08496799999557,0.035812
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__3.dat,290.0982619999995,0.051091
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__12.dat,290.1017450000072,0.034715
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__6.dat,290.1100149999984,0.031567
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__9.dat,290.1122100000066,0.039594
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__7.dat,290.12730900000315,0.035467
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__5.dat,290.1278409999941,0.045348
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__8.dat,290.13791499999934,0.05071
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__16.dat,290.13999599999806,0.034691
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__4.dat,290.14561200000753,0.051219
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__10.dat,290.15138800001296,0.04437
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__1.dat,290.1578210000007,0.03143
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__21.dat,290.1805639999948,0.026564
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__37.dat,290.1814889999805,0.072044
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__47.dat,290.21787299998687,0.048156
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__44.dat,290.22324500000104,0.039574
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__42.dat,290.2265349999943,0.027577
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__48.dat,290.2370579999988,0.053086
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__26.dat,290.2426929999783,0.041343
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__33.dat,290.2434260000009,0.017615
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__23.dat,290.25265699999,0.085293
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__27.dat,290.25590999997803,0.033764
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__35.dat,290.2659010000061,0.027777
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__13.dat,290.2677540000004,0.028761
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__41.dat,290.26794900000095,0.031019
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__31.dat,290.2815910000063,0.03171
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__40.dat,290.3026419999951,0.02128
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__50.dat,290.3124109999917,0.033397
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__38.dat,290.31257700000424,0.029754
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__22.dat,290.31492399999115,0.033859
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__32.dat,290.3165190000145,0.02494
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__30.dat,290.32697399999597,0.034313
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__49.dat,290.33301199998823,0.039263
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__46.dat,290.3382950000232,0.052522
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__39.dat,290.3388440000126,0.022313
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__45.dat,290.35261000000173,0.04162
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__36.dat,290.37038600002415,0.038093
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__24.dat,290.3954309999972,1.000663
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__43.dat,290.4063979999919,0.029329
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__34.dat,290.40710499999113,0.039282
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__29.dat,290.4162139999971,0.037768
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__28.dat,290.43158999999287,0.04373
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-free__25.dat,290.44719200002146,0.575404
