filename,duration,broken_wc_time
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__25.dat,291.2713030000159,0.024316
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__10.dat,291.34127200001967,0.024642
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__21.dat,291.3678599999985,0.026356
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__33.dat,291.3843029999989,0.019947
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__27.dat,291.40146699998877,0.031183
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__15.dat,291.4070340000035,0.020201
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__28.dat,291.4397239999962,0.02985
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__31.dat,291.4438519999967,0.021838
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__3.dat,291.4490569999907,0.027706
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__6.dat,291.49782499999856,0.031298
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__5.dat,291.51013500001864,0.028702
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__35.dat,291.51639899998554,0.030127
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__7.dat,291.52464099999634,0.021615
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__11.dat,291.53652500000317,0.017173
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__1.dat,291.5376380000089,0.014819
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__22.dat,291.5429169999843,0.031634
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__14.dat,291.5439340000157,0.033186
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__13.dat,291.5578219999734,0.010408
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__20.dat,291.5666640000127,0.028372
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__26.dat,291.5730249999906,0.031246
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__12.dat,291.580569999991,0.018476
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__4.dat,291.59846199999447,0.028058
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__2.dat,291.6085800000001,0.018701
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__36.dat,291.6121599999897,0.031395
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__34.dat,291.614636000013,0.01811
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__32.dat,291.6152319999819,0.026701
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__30.dat,291.6156469999987,0.022711
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__17.dat,291.62046100001317,0.027768
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__19.dat,291.6209220000019,0.02397
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__16.dat,291.63248199998634,0.032081
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__9.dat,291.6356530000048,0.023334
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__18.dat,291.6659019999788,0.023317
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__8.dat,291.7190970000229,0.034886
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__29.dat,291.720914000005,0.032841
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__23.dat,291.72739600000205,0.046795
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-hyperthreads-locked__24.dat,291.7746230000048,0.034993
