filename,duration,broken_wc_time
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__37.dat,291.20164000000113,0.91436
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__33.dat,302.07150100000035,0.40445
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__14.dat,305.9591449999998,0.799831
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__17.dat,306.15757399999984,0.399164
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__23.dat,306.4575879999993,0.398937
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__44.dat,307.1106559999989,0.384545
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__15.dat,307.384771,0.529022
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__5.dat,308.7857560000002,0.772098
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__26.dat,309.1604819999993,0.507479
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__49.dat,310.4485160000004,0.852632
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__18.dat,311.5105759999997,0.4363
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__47.dat,311.52532800000154,0.851913
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__32.dat,312.06552699999884,0.76682
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__4.dat,312.49054,0.233542
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__41.dat,312.55794400000013,0.251276
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__40.dat,313.0256560000016,0.416402
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__30.dat,313.80935900000077,0.526504
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__3.dat,314.0371789999999,0.295366
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__20.dat,314.51806099999976,0.313739
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__42.dat,315.3450990000001,0.142099
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__19.dat,315.88012100000014,0.123999
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__21.dat,315.9989660000001,0.340348
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__36.dat,316.0576860000001,0.29325
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__31.dat,316.06264399999964,0.380164
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__28.dat,316.16644199999973,0.503783
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__48.dat,316.24257300000136,0.232887
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__2.dat,316.331048,0.288243
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__50.dat,316.45615100000214,0.127091
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__7.dat,316.6045690000001,0.295128
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__22.dat,317.17703600000004,0.178752
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__45.dat,317.3429759999999,0.649729
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__12.dat,317.40799199999947,0.768123
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-none__43.dat,317.53002800000104,0.296544
