filename,duration,broken_wc_time
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__12.dat,291.8750790000049,0.035375
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__11.dat,291.916326999999,0.028475
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__23.dat,291.9298080000008,0.047216
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__48.dat,291.94235499999195,0.032337
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__2.dat,291.9504450000022,0.021007
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__6.dat,291.95384699999704,0.022454
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__20.dat,291.97875799999747,0.03363
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__32.dat,291.9906919999921,0.038354
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__18.dat,292.00222799999756,0.012675
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__26.dat,292.04106600000523,0.048227
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__24.dat,292.05187399999704,0.033109
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__28.dat,292.05384900000354,0.025812
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__15.dat,292.0638949999993,0.027157
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__3.dat,292.07604100000026,0.035965
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__36.dat,292.0782270000054,0.019376
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__33.dat,292.08494399998744,0.025215
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__25.dat,292.0876780000108,0.028502
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__43.dat,292.0889989999996,0.024539
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__10.dat,292.0921879999951,0.021822
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__22.dat,292.0995009999897,0.023468
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__34.dat,292.1094219999941,0.034749
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__19.dat,292.12823400000343,0.032556
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__44.dat,292.13493200000084,0.037754
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__38.dat,292.1437100000039,0.027198
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__16.dat,292.14437299998826,0.018936
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__45.dat,292.1478979999956,0.024873
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__1.dat,292.168866,0.076316
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__35.dat,292.1734109999961,0.026258
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__7.dat,292.1754440000077,0.032819
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__4.dat,292.17847099999926,0.033551
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sequential__37.dat,292.1799420000025,0.02825
