filename,duration,broken_wc_time
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__24.dat,289.35827000001154,0.867518
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__43.dat,289.4352790000121,1.043076
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__35.dat,289.43665099999635,0.817363
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__32.dat,289.49834700000065,0.869494
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__27.dat,289.5047010000126,0.667419
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__42.dat,289.5129659999948,0.827291
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__23.dat,289.5228150000039,1.039219
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__31.dat,289.5398589999968,0.713349
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__11.dat,289.5544929999887,0.610672
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__28.dat,289.5676939999976,1.093573
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__26.dat,289.5918729999976,0.969163
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__46.dat,289.5924059999961,0.562223
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__50.dat,289.615128999998,0.898323
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__41.dat,289.6403879999998,0.529356
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__44.dat,289.6433240000042,1.052446
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__6.dat,289.643974000006,0.926109
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__18.dat,289.6721600000019,0.516695
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__49.dat,289.6861749999953,0.76266
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__22.dat,289.7047959999909,0.90421
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__25.dat,289.72202099999413,1.127235
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__29.dat,289.7543549999973,1.129889
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__16.dat,289.7574270000041,1.098571
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__15.dat,289.7694749999937,0.79892
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__3.dat,289.7890389999957,0.611957
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__9.dat,289.7980979999993,0.665963
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__20.dat,289.80108800000744,0.49983
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__19.dat,289.8188419999933,1.297239
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__2.dat,289.8391189999966,0.796581
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__38.dat,289.86190600000555,0.424819
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__36.dat,289.8632069999876,0.904352
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__40.dat,289.8686779999989,0.554741
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__47.dat,289.8952149999968,0.579838
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__7.dat,289.92871799999557,1.279537
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__8.dat,289.96001799999794,0.718651
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__1.dat,289.9853210000001,0.296094
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__17.dat,290.036963999999,0.529459
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__5.dat,290.0718049999996,0.810119
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__10.dat,290.0866709999973,0.533385
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__21.dat,290.0890630000067,0.996222
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__39.dat,290.1517529999983,0.650579
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__34.dat,290.1665079999948,0.611983
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__33.dat,290.21126599999843,0.154619
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__48.dat,290.29225600000063,0.396686
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__37.dat,290.3998500000016,0.495764
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__45.dat,290.46247199999925,0.387013
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__30.dat,290.50920299999416,0.323342
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__14.dat,290.5438930000091,0.151744
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__13.dat,290.61349200000404,0.482495
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__12.dat,290.698384000003,0.265305
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockets__4.dat,290.78353900001093,0.397549
