filename,duration,broken_wc_time
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__27.dat,289.8811559999958,0.027079
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__39.dat,289.9017709999971,0.049861
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__41.dat,289.92981500000315,0.034468
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__24.dat,289.93152499999997,0.029445
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__46.dat,289.9526509999996,0.018964
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__18.dat,289.9835030000031,0.037117
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__11.dat,289.98426299999846,0.046928
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__4.dat,289.9885789999971,0.028472
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__23.dat,289.99750499999936,0.025253
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__19.dat,289.9995840000047,0.02499
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__3.dat,290.0103390000004,0.022999
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__30.dat,290.01664499999606,0.026982
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__37.dat,290.02635899999586,0.050347
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__38.dat,290.02644800000417,0.034833
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__17.dat,290.0270180000007,0.023854
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__40.dat,290.0270479999963,0.038238
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__28.dat,290.03087499999674,0.035799
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__14.dat,290.03276200000255,0.023624
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__6.dat,290.0341810000027,0.02496
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__42.dat,290.0440770000059,0.041337
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__29.dat,290.0500710000051,0.024615
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__16.dat,290.0522790000032,0.039948
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__22.dat,290.0544910000026,0.045684
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__12.dat,290.0555239999958,0.035925
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__7.dat,290.06003999999666,0.029657
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__5.dat,290.06110700000136,0.036939
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__36.dat,290.06143399999564,0.03146
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__49.dat,290.06230899999355,0.036836
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__15.dat,290.0630650000021,0.038052
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__48.dat,290.0672279999999,0.024652
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__20.dat,290.07184899999993,0.03453
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__13.dat,290.08076399999845,0.023772
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__2.dat,290.0820440000025,0.020345
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__32.dat,290.0890689999942,0.040672
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__35.dat,290.0938230000029,0.03988
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__8.dat,290.1049490000005,0.029744
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__33.dat,290.10872599999857,0.03215
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__47.dat,290.11065699999745,0.043366
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__26.dat,290.1159980000011,0.128297
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-disabled-sockorder__9.dat,290.12050199999794,0.032376
