filename,duration,broken_wc_time
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__9.dat,290.10773200000403,0.056885
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__13.dat,290.1082199999946,0.03862
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__35.dat,290.1383579999965,0.022947
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__3.dat,290.1519789999875,0.035817
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__8.dat,290.15698600001633,0.042152
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__36.dat,290.1699990000052,0.062517
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__24.dat,290.17052999997395,0.045214
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__7.dat,290.1846620000142,0.032068
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__1.dat,290.2053989999986,0.192541
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__46.dat,290.21022100001574,0.029703
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__11.dat,290.22319299998344,0.0376
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__27.dat,290.23334899998736,0.027146
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__23.dat,290.2356440000003,0.026743
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__17.dat,290.26687399999355,0.037086
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__45.dat,290.26688000001013,0.048553
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__39.dat,290.27098800000385,0.040424
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__16.dat,290.2802660000161,0.025004
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__42.dat,290.2882680000039,0.033604
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__6.dat,290.2893819999881,0.030298
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__30.dat,290.2898540000024,0.044743
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__48.dat,290.2973860000202,0.04557
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__10.dat,290.3050890000013,0.02863
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__38.dat,290.3063789999869,0.022296
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__49.dat,290.30711399999564,0.032606
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__31.dat,290.3106379999954,0.035662
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-hyperthreads-free__34.dat,290.3150779999851,0.038926
