filename,duration,broken_wc_time
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__38.dat,296.1130230000017,1.183604
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__26.dat,300.3365269999995,0.735584
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__5.dat,303.7066440000017,1.309102
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__45.dat,306.52514599999995,0.474523
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__24.dat,306.6576150000001,1.642685
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__50.dat,306.92769899999985,1.294735
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__27.dat,307.07219299999997,1.169182
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__44.dat,307.5702259999998,0.680205
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__13.dat,308.33004099999744,0.407211
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__7.dat,308.58439799999906,0.800805
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__32.dat,308.6212889999988,2.549015
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__8.dat,309.0772040000011,0.773739
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__48.dat,309.1681800000006,0.788354
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__20.dat,309.21616899999935,2.772408
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__23.dat,309.33202900000106,0.907615
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__39.dat,309.44786699999895,2.050816
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__17.dat,309.604715999998,3.022764
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__21.dat,309.9809410000016,2.555115
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__49.dat,310.0590179999999,1.190609
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__33.dat,310.130627999999,1.777158
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__3.dat,310.4169519999996,1.289709
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__2.dat,310.5331800000022,1.957126
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__10.dat,311.0953120000013,1.849595
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__35.dat,311.4383769999986,0.969922
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__6.dat,311.43951899999956,1.143917
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__31.dat,311.5986460000022,1.374435
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__4.dat,311.6192950000004,1.784255
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__28.dat,311.6251610000036,1.256386
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__1.dat,312.1931420000001,1.77168
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__19.dat,312.6393300000018,1.112442
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__9.dat,312.7797279999977,1.740962
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__43.dat,313.2238049999978,2.153367
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__40.dat,313.62326799999937,2.297785
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__30.dat,313.63499100000263,1.555521
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__37.dat,313.6373219999987,0.430084
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__41.dat,314.1226800000004,4.296731
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__16.dat,314.382157,0.775903
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__34.dat,314.52502399999867,1.19377
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__47.dat,315.43020400000023,0.972921
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__14.dat,315.45956800000204,2.598787
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__36.dat,315.650829000002,3.128607
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__25.dat,315.68940400000065,2.133008
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__12.dat,316.1614439999976,1.316331
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__18.dat,316.3320160000003,1.788428
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__15.dat,316.4397020000033,4.821506
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__22.dat,318.3563949999989,1.043875
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__11.dat,320.48159300000043,2.745274
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__46.dat,321.3108490000013,1.872238
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__29.dat,323.4100819999985,6.227742
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-none__42.dat,326.59075799999846,1.596438
