filename,duration,broken_wc_time
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__6.dat,291.3109600000025,0.027068
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__19.dat,291.44412999998895,0.026006
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__50.dat,291.5153750000027,0.022286
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__15.dat,291.6081450000056,0.031556
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__43.dat,291.6161370000045,0.014337
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__21.dat,291.6378369999875,0.038461
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__17.dat,291.6554679999972,0.02123
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__44.dat,291.6948890000058,0.030468
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__27.dat,291.695848000003,0.024458
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__45.dat,291.69956100000127,0.021246
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__49.dat,291.71513400001277,0.055827
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__20.dat,291.7197339999984,0.043041
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__10.dat,291.7321790000133,0.01386
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__40.dat,291.74132999998983,0.019959
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__7.dat,291.7467239999969,0.021245
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__47.dat,291.75337500000023,0.043926
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__28.dat,291.7674410000036,0.014746
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__46.dat,291.79256500001065,0.03294
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__13.dat,291.8094490000076,0.016861
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__42.dat,291.81137800001306,0.026858
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__16.dat,291.82119899999816,0.045123
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__2.dat,291.8232790000038,0.03371
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__23.dat,291.8253529999929,0.022871
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__24.dat,291.83291100000497,0.023815
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__8.dat,291.83385100000305,0.032934
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__4.dat,291.8535169999959,0.043199
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__1.dat,291.85652200000186,0.01997
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__25.dat,291.8588180000079,0.018827
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__48.dat,291.87034499998845,0.014732
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__18.dat,291.87258100000327,0.042214
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__38.dat,291.87390800000867,0.017085
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__29.dat,291.87547699999413,0.028664
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__5.dat,291.88257300000987,0.014118
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__3.dat,291.8930059999984,0.031213
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__39.dat,291.89822000000277,0.024703
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__26.dat,291.90099799999734,0.027775
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__30.dat,291.90287700000044,0.036424
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__32.dat,291.9191409999912,0.036068
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__35.dat,291.919424000007,0.026487
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__36.dat,291.94846400000097,0.036066
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__31.dat,291.9514669999917,0.017548
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__41.dat,291.9640930000023,0.035219
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__14.dat,291.989894000013,0.022354
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__37.dat,291.9964719999989,0.018239
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__11.dat,292.01104199999827,0.020937
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__22.dat,292.0474269999977,0.01812
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__9.dat,292.12018300000636,0.020753
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__34.dat,292.12468799999624,0.024152
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__33.dat,292.12887000000046,0.053624
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sequential__12.dat,292.1397629999992,0.043584
