filename,duration,broken_wc_time
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__37.dat,289.5848729999998,1.107037
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__46.dat,289.6562810000032,0.452825
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__21.dat,289.6934889999975,0.678457
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__44.dat,289.7511569999915,0.684803
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__12.dat,289.81969099999696,0.784354
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__22.dat,289.82360000000335,0.762379
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__15.dat,289.823973999999,0.619295
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__23.dat,289.82999899999413,0.995072
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__13.dat,289.84111799999664,0.367832
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__41.dat,289.85609499999555,0.867288
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__34.dat,289.8699629999901,0.948219
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__42.dat,289.8728929999925,0.443597
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__5.dat,289.8768940000009,0.348377
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__47.dat,289.8797829999967,0.510632
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__8.dat,289.8841689999972,0.423308
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__24.dat,289.9041470000084,1.123765
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__36.dat,289.90516500000376,0.384945
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__3.dat,289.9076090000017,0.663744
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__16.dat,289.91375599999446,1.083285
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__28.dat,289.9144809999998,0.376524
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__19.dat,289.92942500000936,0.636756
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__11.dat,289.9424680000084,0.80049
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__30.dat,289.9434440000041,0.425047
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__2.dat,289.9548450000002,0.452454
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__17.dat,289.9942379999993,0.948303
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__32.dat,290.003229000009,0.202673
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockets__4.dat,290.03034800000023,0.733916
