filename,duration,broken_wc_time
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__12.dat,290.0249960000001,0.029942
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__34.dat,290.04288399999496,0.047305
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__11.dat,290.0573129999975,0.025012
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__2.dat,290.0691020000013,0.028994
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__32.dat,290.0996140000061,0.049838
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__48.dat,290.10589099999925,0.022127
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__23.dat,290.1134200000015,0.026972
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__35.dat,290.11645699999644,0.04021
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__13.dat,290.1170459999994,0.033209
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__37.dat,290.1258719999969,0.033558
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__46.dat,290.131991000002,0.029818
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__8.dat,290.1403649999993,0.033899
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__36.dat,290.1479910000053,0.022484
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__9.dat,290.1507530000017,0.028199
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__41.dat,290.1554729999989,0.046668
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__45.dat,290.16527700000006,0.031782
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__30.dat,290.16662299999734,0.044978
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__26.dat,290.167594999999,0.032444
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__10.dat,290.17405800000415,0.046963
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__50.dat,290.18878300000506,0.031045
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__22.dat,290.20915799999784,0.041059
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__42.dat,290.21750299999985,0.037883
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__6.dat,290.2219760000007,0.035133
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__31.dat,290.2310890000008,0.037673
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__20.dat,290.2346000000034,0.027879
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__1.dat,290.23508199999924,0.028266
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__21.dat,290.23611099999835,0.020306
cg.D.x__troll-1__v6.8.0-rc3__performance__2024-03-30__nb-enabled-sockorder__38.dat,290.24193399999785,0.039282
