filename,duration,broken_wc_time
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__3.dat,23.266757999997935,0.012589
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__17.dat,23.74061200000142,0.008014
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__14.dat,23.76092900000367,0.004038
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__5.dat,23.798521000004257,0.00964
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__8.dat,23.82165900000109,6.7e-05
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__1.dat,23.8802199999991,0.109517
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__19.dat,23.88105799999903,0.008
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__12.dat,23.888631999994686,9.4e-05
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__20.dat,23.891339000001608,5.7e-05
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__4.dat,23.89512200000172,0.008031
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__13.dat,23.900886000003084,0.00799
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__15.dat,23.903147000004537,2.5e-05
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__6.dat,23.90678100000514,0.00011
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__7.dat,23.916507999994792,0.004056
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__18.dat,23.979894000003696,0.008004
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__9.dat,23.9924319999991,0.007975
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__16.dat,24.005966999997327,0.004039
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__2.dat,24.01688799999829,0.0078
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__10.dat,24.107372999998915,0.049782
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__11.dat,24.220954000003985,0.004022
