filename,duration,broken_wc_time
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sequential__7.dat,24.106776000000536,0.000397
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sequential__3.dat,24.146466999998665,0.000286
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sequential__10.dat,24.184322999994038,0.004189
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sequential__2.dat,24.1928590000025,0.000275
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sequential__1.dat,24.19553199999791,0.000253
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sequential__18.dat,24.199178999988362,0.000286
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sequential__11.dat,24.20600099999865,0.00065
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sequential__9.dat,24.21133199999167,0.000365
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sequential__12.dat,24.223060000003898,0.004536
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sequential__17.dat,24.239259999987553,0.004168
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sequential__6.dat,24.242354000001797,0.000295
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sequential__5.dat,24.249259999996866,0.000349
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sequential__8.dat,24.254344000000856,0.000376
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sequential__14.dat,24.273965000000317,0.000299
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sequential__19.dat,24.274411000005784,0.000269
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sequential__16.dat,24.277550999991945,0.000327
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sequential__20.dat,24.280641000004834,0.004155
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sequential__15.dat,24.30894299999636,0.007784
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sequential__13.dat,24.377957000004244,0.000275
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sequential__4.dat,24.383912999997847,0.000341
