filename,duration,broken_wc_time
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__4.dat,21.61230899998918,0.007212
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__7.dat,21.629268999997294,0.012187
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__11.dat,21.630796999990707,0.00413
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__12.dat,21.631136999989394,0.004539
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__6.dat,21.63549200000125,0.008256
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__13.dat,21.6390759999922,0.00833
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__17.dat,21.643389999997453,0.000207
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__14.dat,21.64665999999852,0.008278
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__16.dat,21.656601000009687,0.012667
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__9.dat,21.65979000000516,0.0091
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__5.dat,21.676630999994813,0.000172
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__15.dat,21.681056000001263,0.012527
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__18.dat,21.687191999997594,0.004386
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__2.dat,21.692806000006385,0.000305
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__3.dat,21.69483000000764,0.004176
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__10.dat,21.69584699999541,0.00637
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__19.dat,21.697146000005887,0.004171
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__8.dat,21.73683799999708,0.004482
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__20.dat,21.744834999990417,0.004156
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockets__1.dat,21.752785000004224,0.000215
