filename,duration,broken_wc_time
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__9.dat,21.585853999989922,0.000371
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__12.dat,21.58814199999324,0.004192
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__8.dat,21.597620999993524,0.001308
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__10.dat,21.611768000002485,0.002969
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__6.dat,21.612908999988576,0.00432
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__15.dat,21.613636000009137,0.000367
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__17.dat,21.6200450000033,0.000705
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__13.dat,21.62141900000279,0.000276
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__11.dat,21.626376000000164,0.000248
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__16.dat,21.631554999999935,0.000337
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__7.dat,21.646489999999176,0.000265
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__5.dat,21.65062700000999,0.005682
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__2.dat,21.656786000006832,0.0042
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__3.dat,21.658914999992703,0.000299
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__14.dat,21.666445000009844,0.000287
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__1.dat,21.67103299999144,0.000297
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__19.dat,21.67461600000388,0.001727
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__20.dat,21.681314999994356,0.002244
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__18.dat,21.68704499999876,0.000337
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-sockorder__4.dat,21.694499000004726,0.004215
