filename,duration,broken_wc_time
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-none__17.dat,23.991829000005964,0.027874
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-none__10.dat,24.090973999991547,0.065301
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-none__7.dat,24.11487699999998,0.008125
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-none__5.dat,24.2199729999993,0.083451
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-none__14.dat,24.419441999998526,0.300149
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-none__15.dat,24.529309000005014,0.02086
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-none__20.dat,24.539624999990338,0.30934
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-none__18.dat,24.717769000009866,0.249614
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-none__16.dat,24.733087000000523,0.015006
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-none__9.dat,24.89336099999491,0.011919
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-none__6.dat,24.956799000006868,0.15698
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-none__2.dat,24.964271999997436,0.100779
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-none__12.dat,25.0748339999991,0.004071
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-none__4.dat,25.110897999998997,0.069672
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-none__8.dat,25.196311000006972,0.004084
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-none__13.dat,25.360310000003665,0.007512
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-none__19.dat,25.422821000000113,0.002375
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-none__1.dat,25.566680999996606,0.000176
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-none__3.dat,26.232814999995753,0.811476
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-none__11.dat,26.583553999997093,0.085591
