filename,duration,broken_wc_time
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__4.dat,24.226290999999037,0.000293
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__10.dat,24.229502000001958,0.003649
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__15.dat,24.320848999996088,0.00062
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__2.dat,24.36594899999909,0.000272
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__9.dat,24.412973999991664,0.000385
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__17.dat,24.424726000012015,0.000249
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__1.dat,24.471845000007306,0.000277
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__20.dat,24.47685300000012,0.0007
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__11.dat,24.491623000008985,0.001709
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__8.dat,24.535900999995647,0.000854
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__16.dat,24.549152999999933,0.004331
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__3.dat,24.610966000007465,0.000354
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__14.dat,24.683955000000424,0.000269
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__6.dat,24.839282999993884,0.000726
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__13.dat,24.8951390000002,0.000316
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__7.dat,24.953397999997833,0.000307
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__18.dat,24.9670230000047,0.000717
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__5.dat,25.045553000003565,0.001386
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__19.dat,25.14413099999365,0.000267
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__12.dat,25.46481199999107,0.000364
