filename,duration,broken_wc_time
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockets__17.dat,22.39874200000486,0.020058
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockets__13.dat,22.472357000006014,0.008921
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockets__10.dat,22.664338000002317,0.004202
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockets__11.dat,22.79990899999393,0.004428
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockets__12.dat,22.827826999986428,0.004074
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockets__15.dat,23.049964999998338,0.006232
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockets__7.dat,23.494676000002073,0.000481
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockets__1.dat,23.733342999999877,0.000271
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockets__3.dat,24.166714000006323,0.004152
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockets__19.dat,24.227698999995482,0.000602
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockets__14.dat,24.339203000010457,0.007489
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockets__4.dat,24.38297199999215,0.005416
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockets__5.dat,24.64411100000143,0.004424
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockets__2.dat,24.80840399999579,0.010444
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockets__9.dat,24.995363000009093,0.004423
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockets__20.dat,25.08315200000652,0.000202
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockets__18.dat,25.367670999999973,0.020039
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockets__8.dat,25.423622999995132,0.016117
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockets__6.dat,25.951935000004596,0.008113
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockets__16.dat,26.068759999994654,0.004065
