filename,duration,broken_wc_time
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-none__1.dat,20.395704999999907,0.000256
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-none__10.dat,20.5666540000002,0.004393
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-none__18.dat,20.58265300000039,0.004189
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-none__8.dat,20.66987599999993,0.009069
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-none__13.dat,20.670186999999714,0.000149
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-none__16.dat,20.676464999999553,8.8e-05
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-none__20.dat,20.6946939999998,0.000422
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-none__9.dat,20.8558009999997,0.023449
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-none__17.dat,20.858400000000074,3.4e-05
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-none__6.dat,20.863851000000068,0.003825
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-none__2.dat,20.867457999999715,0.000418
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-none__7.dat,20.879156999999395,0.012317
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-none__5.dat,20.899225000000115,0.001751
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-none__12.dat,20.91081800000029,0.00428
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-none__11.dat,21.25939500000004,0.008695
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-none__4.dat,21.353798000000097,0.004064
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-none__3.dat,21.417724999999336,0.000115
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-none__19.dat,21.996186999999736,0.000109
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-none__15.dat,22.214630000000398,0.019855
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-none__14.dat,22.713315999999395,0.031729
