filename,duration,broken_wc_time
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-sequential__3.dat,19.49071400000048,0.000664
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-sequential__6.dat,19.58473000000049,0.001552
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-sequential__15.dat,19.6884,0.000731
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-sequential__8.dat,19.705128999999943,0.000623
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-sequential__10.dat,19.73809799999981,0.000728
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-sequential__16.dat,19.790294000000358,0.004527
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-sequential__13.dat,19.889678999999887,0.000597
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-sequential__14.dat,19.89956700000039,0.000531
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-sequential__2.dat,19.95930800000042,0.001192
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-sequential__18.dat,19.961217000000033,0.000461
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-sequential__12.dat,19.989936999999372,0.000598
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-sequential__9.dat,19.990256000000045,0.000489
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-sequential__1.dat,20.00727900000038,0.000983
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-sequential__20.dat,20.0372210000005,0.003505
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-sequential__4.dat,20.204498000000058,0.000753
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-sequential__17.dat,20.288330000000315,0.00044
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-sequential__11.dat,20.29444700000022,0.000791
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-sequential__19.dat,20.300944999999956,0.000468
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-sequential__7.dat,20.339340000000448,0.000571
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-disabled-sequential__5.dat,20.799885999999788,0.000684
