filename,duration,broken_wc_time
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-none__3.dat,22.126843000000008,1.997213
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-none__18.dat,23.42082399999981,1.994959
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-none__2.dat,23.611847000000125,2.386887
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-none__7.dat,23.647828000000118,3.426847
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-none__11.dat,24.04936799999996,2.496046
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-none__9.dat,24.304761000000326,4.331191
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-none__4.dat,24.46133000000009,3.95795
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-none__6.dat,24.765709000000243,3.934699
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-none__14.dat,25.56631600000037,5.791366
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-none__1.dat,25.921221000000514,5.434923
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-none__10.dat,25.993453000000045,5.834659
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-none__8.dat,27.159507999999732,7.282648
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-none__12.dat,27.791196999999556,7.143755
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-none__16.dat,28.361274999999296,8.186124
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-none__19.dat,28.67520599999989,8.713798
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-none__17.dat,29.016445000000203,9.112906
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-none__20.dat,32.2775189999993,12.315098
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-none__13.dat,42.49412800000027,23.93628
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-none__5.dat,47.25973299999987,27.529529
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-none__15.dat,59.43503200000032,40.618348
