filename,duration,broken_wc_time
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-sockorder__9.dat,14.416511999999784,0.001136
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-sockorder__8.dat,14.453417000000627,0.001943
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-sockorder__10.dat,14.453752999999779,0.000937
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-sockorder__3.dat,14.4542849999998,0.000709
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-sockorder__19.dat,14.458843000000343,0.001283
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-sockorder__15.dat,14.476368999999977,0.001522
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-sockorder__20.dat,14.508341999999175,0.001741
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-sockorder__12.dat,14.516916999999012,0.001372
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-sockorder__18.dat,14.530886999998984,0.003919
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-sockorder__2.dat,14.550254999999197,0.000697
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-sockorder__17.dat,14.560408999999709,0.000784
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-sockorder__6.dat,14.560524000000441,0.000662
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-sockorder__13.dat,14.587192000000869,0.00084
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-sockorder__7.dat,14.613069000000905,0.000883
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-sockorder__1.dat,14.614031000000068,0.004003
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-sockorder__5.dat,14.649429000000055,0.001557
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-sockorder__16.dat,14.674081000001024,0.000726
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-sockorder__14.dat,14.69013300000006,0.00071
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-sockorder__11.dat,14.7656879999995,0.001089
ua.C.x__yeti-1__v6.8.0-rc3__performance__2024-03-11__nb-enabled-sockorder__4.dat,14.802458999999544,0.001066
